classe,percentage,point,survey,total
Veículo Leve,64.0,172,8,18192.0
Moto,1.1,172,8,321.0
Ônibus,2.3,172,8,644.0
Caminhão Leve,12.2,172,8,3472.0
Truck,0.4,172,8,120.0
Semirreboques,14.1,172,8,4001.0
Semirreboques Especiais,5.7,172,8,1606.0
Reboques,0.2,172,8,56.0
Veículo Leve,54.3,100,8,17455.0
Moto,0.9,100,8,296.0
Ônibus,2.1,100,8,666.0
Caminhão Leve,16.9,100,8,5429.0
Truck,0.4,100,8,128.0
Semirreboques,20.0,100,8,6422.0
Semirreboques Especiais,4.9,100,8,1566.0
Reboques,0.6,100,8,197.0
Veículo Leve,71.4,144,8,45209.0
Moto,10.9,144,8,6876.0
Ônibus,2.3,144,8,1436.0
Caminhão Leve,9.9,144,8,6248.0
Truck,0.2,144,8,95.0
Semirreboques,4.5,144,8,2838.0
Semirreboques Especiais,0.8,144,8,516.0
Reboques,0.1,144,8,81.0
Veículo Leve,74.1,202,8,27225.0
Moto,3.2,202,8,1161.0
Ônibus,2.5,202,8,929.0
Caminhão Leve,14.1,202,8,5187.0
Truck,0.2,202,8,85.0
Semirreboques,5.3,202,8,1941.0
Semirreboques Especiais,0.5,202,8,190.0
Reboques,0.1,202,8,25.0
