C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
3,2,0,0,0,1,0,1,0,12,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,6,146,C,7,26
0,0,0,0,0,1,0,0,0,55,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,7,146,C,7,66
3,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,146,C,7,31
1,3,0,0,0,0,2,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,4,146,D,7,20
0,0,2,0,0,2,1,1,0,10,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,5,146,D,7,24
1,0,0,0,0,2,1,0,0,38,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,6,146,C,7,48
5,3,0,0,0,0,2,0,0,61,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,146,C,7,87
2,2,0,0,0,12,4,1,0,28,0,6,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,7,6,146,D,7,62
3,3,0,2,0,3,0,0,0,45,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,146,D,7,70
4,4,0,0,0,2,2,0,0,78,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,8,146,C,7,100
2,6,0,0,0,4,0,1,0,71,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,146,C,7,93
1,4,0,0,1,0,0,0,0,44,0,13,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,7,8,146,D,7,68
5,1,0,1,0,4,2,0,0,50,0,21,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,9,146,D,7,87
1,0,0,1,1,4,4,2,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,146,D,7,43
0,1,0,0,0,2,2,0,0,27,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,146,C,7,49
1,0,0,0,0,0,0,0,0,28,0,5,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,3,7,146,C,7,39
0,0,0,0,0,14,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,146,D,7,61
1,1,0,0,0,3,0,0,0,54,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,7,146,D,7,64
0,2,0,0,0,0,1,0,0,7,0,3,0,0,0,0,0,0,0,0,3,0,0,5,0,5,5,0,0,2,0,55,D,7,31
4,6,0,1,0,4,0,0,0,14,0,6,0,0,0,0,0,0,0,3,1,0,0,3,0,0,4,0,0,2,1,55,D,7,46
0,2,0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,55,C,7,11
1,1,0,0,0,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,3,55,C,7,15
2,1,0,0,0,8,0,2,0,46,1,20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,1,2,2,55,D,7,88
1,1,0,0,0,13,1,6,0,53,4,20,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,2,3,55,D,7,105
1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,55,C,7,10
2,1,0,0,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0,2,5,55,C,7,18
1,1,0,0,1,25,4,0,0,89,2,8,0,0,0,0,0,0,0,0,1,0,1,3,0,0,2,0,0,2,4,55,D,7,138
4,0,0,1,3,24,1,0,0,53,6,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,1,0,2,5,55,D,7,106
0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,146,C,7,6
0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,146,C,7,10
0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,146,D,7,5
1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,146,D,7,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,2,146,C,7,4
1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,146,C,7,6
