id,cod_mun_a,cod_mun_b,freq_saida_2016
29055032910859,2905503,2910859,0.0
35306073545001,3530607,3545001,0.0
31062003154804,3106200,3154804,0.0
43151494318705,4315149,4318705,0.0
11002051300805,1100205,1300805,16.0
22000532208650,2200053,2208650,0.0
25013022504009,2501302,2504009,0.0
28003082802007,2800308,2802007,0.0
29108003550308,2910800,3550308,0.0
31082065208004,3108206,5208004,0.0
35126053522406,3512605,3522406,0.0
23042022930105,2304202,2930105,0.0
35205093524006,3520509,3524006,0.0
42021314203808,4202131,4203808,0.0
11001555217203,1100155,5217203,0.0
21012512307304,2101251,2307304,0.0
42052094216800,4205209,4216800,0.0
35091063541406,3509106,3541406,0.0
29148023303708,2914802,3303708,0.0
15013031600279,1501303,1600279,3.0
15013031600808,1501303,1600808,3.0
23018022308401,2301802,2308401,0.0
29173592929057,2917359,2929057,0.0
29146042922052,2914604,2922052,0.0
42020084211058,4202008,4211058,0.0
17055081722107,1705508,1722107,0.0
31556033550308,3155603,3550308,0.0
23076012313104,2307601,2313104,0.0
35181073540101,3518107,3540101,0.0
35271083544608,3527108,3544608,0.0
35389073540101,3538907,3540101,0.0
29036072916500,2903607,2916500,0.0
23042022308104,2304202,2308104,0.0
51018035107040,5101803,5107040,0.0
21009072110104,2100907,2110104,0.0
25040092509503,2504009,2509503,0.0
29199592921807,2919959,2921807,0.0
23040042313401,2304004,2313401,0.0
22032062928406,2203206,2928406,0.0
43105384316907,4310538,4316907,0.0
23045092305001,2304509,2305001,0.0
26017063550308,2601706,3550308,0.0
29110063544301,2911006,3544301,0.0
23014062309102,2301406,2309102,0.0
23032042307304,2303204,2307304,0.0
23080052312908,2308005,2312908,0.0
25046032507507,2504603,2507507,0.0
29128062931350,2912806,2931350,0.0
35032083543709,3503208,3543709,0.0
43151074317509,4315107,4317509,0.0
13017041303304,1301704,1303304,6.0
52099525213103,5209952,5213103,0.0
35197093550605,3519709,3550605,0.0
43117914312401,4311791,4312401,0.0
15036065107602,1503606,5107602,0.0
23020082311207,2302008,2311207,0.0
43120544315156,4312054,4315156,0.0
23003092311900,2300309,2311900,0.0
31125053149309,3112505,3149309,0.0
21113002307304,2111300,2307304,0.0
23018022301901,2301802,2301901,0.0
29006032918308,2900603,2918308,0.0
33020073305554,3302007,3305554,0.0
52087075215009,5208707,5215009,0.0
15003051501808,1500305,1501808,1.5
15018081506005,1501808,1506005,14.0
29168073136504,2916807,3136504,0.0
41018044113205,4101804,4113205,0.0
42044004320800,4204400,4320800,0.0
23038082304301,2303808,2304301,0.0
33008033301900,3300803,3301900,0.0
41014084122107,4101408,4122107,0.0
23073042909307,2307304,2909307,0.0
23061082313757,2306108,2313757,0.0
29011552933158,2901155,2933158,0.0
35147003517000,3514700,3517000,0.0
11001145217203,1100114,5217203,0.0
