cod_mun_origem,cod_mun_destino,total_passagens_2019,total_passagens_2020,tempo_medio_2019,tempo_medio_2020
3509502,2611606,30726.0,21326.0,187,180
1100205,3550308,30723.0,18597.0,225,232
2605459,2611606,30574.0,21783.0,70,66
2211001,3304557,30465.0,18907.0,-2,-2
2304400,4314902,30278.0,25650.0,-2,-2
2611606,2605459,30269.0,20384.0,81,76
2927408,4106902,30003.0,20731.0,-2,-2
3550308,1100205,29812.0,17953.0,217,215
1302603,2611606,29722.0,31751.0,238,233
3304557,2211001,29524.0,18985.0,-2,-2
4314902,2304400,29199.0,25361.0,-2,-2
2611606,1302603,28508.0,31506.0,243,235
2211001,3509502,28442.0,16047.0,188,183
4106902,2927408,28199.0,19163.0,-2,-2
5103403,4106902,28117.0,22024.0,125,112
5300108,2800308,27952.0,20910.0,125,130
3509502,2211001,27910.0,18071.0,184,181
3550308,2105302,27901.0,,178,
2800308,5300108,27869.0,21315.0,127,129
2105302,3550308,27841.0,,180,
3205309,4106902,27813.0,15613.0,-2,158
2927408,5208707,27386.0,20377.0,124,123
4106902,5103403,27264.0,21179.0,150,-2
5208707,2927408,27238.0,19574.0,121,122
1302603,1506807,27085.0,19207.0,70,71
4106902,3205309,27024.0,15253.0,-2,-2
4205407,3106200,26583.0,21559.0,-2,100
3509502,2304400,26015.0,18166.0,206,201
2925303,5300108,26010.0,,103,
3106200,4205407,25627.0,21079.0,-2,111
2304400,3509502,25549.0,18458.0,209,203
2211001,2611606,25267.0,11926.0,97,94
2611606,2211001,25023.0,11989.0,102,97
5300108,2925303,25008.0,,99,
2927408,2408102,24173.0,9554.0,91,91
2611606,1501402,23818.0,19551.0,160,155
1501402,2611606,23753.0,19534.0,152,147
2408102,2927408,23603.0,9135.0,94,95
4205407,5208707,23057.0,14115.0,-2,-2
4113700,4106902,22986.0,,55,
5002704,5103403,22930.0,9124.0,76,71
4106902,4113700,22890.0,,66,
5208707,3106200,22854.0,12339.0,76,77
2925303,3304557,22845.0,,-2,
3106200,5208707,22804.0,12434.0,86,82
5103403,5002704,22779.0,9273.0,72,71
5208707,4205407,22662.0,14044.0,-2,-2
4208203,3106200,22595.0,17057.0,-2,-2
3106200,4208203,22400.0,16713.0,-2,-2
5103403,4314902,22341.0,16501.0,-2,-2
3304557,2925303,22063.0,,-2,
2304400,4106902,22039.0,18476.0,-2,-2
2927408,2507507,21931.0,11202.0,84,86
3170206,3106200,21889.0,8383.0,80,79
4314902,5103403,21854.0,15953.0,-2,-2
2704302,3509502,21839.0,9952.0,177,174
5208707,4106902,21782.0,14313.0,-2,-2
2507507,2927408,21763.0,10606.0,86,87
4314902,4108304,21687.0,8821.0,79,81
3106200,3170206,21553.0,8187.0,91,90
4108304,4314902,21469.0,8825.0,72,77
4106902,5208707,21404.0,13951.0,-2,104
2304400,5208707,21213.0,14082.0,-2,-2
1501402,3509502,21161.0,7600.0,212,207
4106902,2304400,20873.0,17465.0,-2,-2
3550308,3143302,20827.0,12112.0,88,89
3509502,2704302,20759.0,9794.0,172,170
4205407,3509502,20724.0,12075.0,75,72
3550308,4104808,20652.0,,-2,
5300108,4208203,20621.0,18517.0,-2,134
3143302,3550308,20599.0,12126.0,92,93
3550308,2504009,20533.0,,187,
4208807,3550308,20523.0,,-2,
3509502,1501402,20492.0,7765.0,210,205
4104808,3550308,20382.0,,-2,
3136702,3550308,20301.0,,72,
4208203,5300108,20271.0,19029.0,-2,123
1400100,1302603,20228.0,8730.0,78,76
3509502,4205407,20157.0,11818.0,76,73
5208707,2304400,20154.0,13665.0,-2,-2
4314902,4208203,20145.0,8867.0,78,71
1302603,1400100,19980.0,6941.0,79,76
3509502,5208707,19882.0,10785.0,89,86
2504009,3550308,19808.0,,194,
1501402,4205407,19791.0,14777.0,-2,-2
3550308,3136702,19713.0,,69,
2408102,3106200,19649.0,16908.0,161,158
5208707,3509502,19641.0,10643.0,92,88
4208203,4314902,19613.0,8864.0,82,75
4113700,3304557,19552.0,,-2,
2611606,4106902,19501.0,20109.0,-2,-2
3304557,4113700,19425.0,,-2,
2927408,2925303,19368.0,,-2,
3509502,4314100,19368.0,,96,
4314100,3509502,19327.0,,85,
1302603,4106902,19315.0,14407.0,-2,227
2925303,2927408,19120.0,,60,
1504208,5300108,19028.0,13841.0,116,117
3106200,2408102,19002.0,16550.0,163,160
1302603,4314902,18975.0,13200.0,-2,-2
5300108,1504208,18916.0,13546.0,117,118
3304557,3549805,18848.0,,-2,
2927408,4205407,18783.0,15175.0,-2,-2
4106902,2611606,18712.0,19004.0,-2,-2
3549805,3304557,18617.0,,-2,
2304400,3205309,18457.0,6369.0,-2,-2
2111300,1501402,18422.0,7638.0,66,79
1501402,2111300,18211.0,7619.0,64,75
3205309,2304400,18210.0,6155.0,-2,-2
2611606,3205309,18192.0,12621.0,-2,140
1302603,1304062,18123.0,,109,
3205309,3509502,18078.0,15198.0,98,97
2611606,5208707,18073.0,18550.0,167,161
3509502,3205309,17996.0,15260.0,92,91
4205407,2927408,17923.0,14840.0,-2,-2
3550308,1200401,17771.0,12936.0,244,237
5103403,5208707,17699.0,7908.0,83,84
2704302,4314902,17488.0,13891.0,-2,-2
1500602,1501402,17478.0,7929.0,71,78
3205309,2611606,17464.0,12430.0,-2,134
3550308,4208807,17401.0,,-2,
4314902,2704302,17202.0,13723.0,-2,-2
1501402,4106902,17184.0,13178.0,-2,-2
5208707,2611606,17130.0,17830.0,162,158
5208707,5103403,17119.0,7830.0,87,82
