cod_mun,pib,PIB_agro,PIB_ind,PIB_serv,PIB_pub,hierarquia,nome_hierarquia,CGT,CI,CGP,indice_atracao,ia_vestuario,ia_moveis,ia_saude_bm,ia_saude_a,ia_ensino_sup,ia_cultura,ia_esporte,ia_aeroporto,ia_jornal,ia_transporte,num_leitos
4205001,652453,100662,39823,310810,112031,4A,Centro de Zona A,2.8234742291703,2.34635297445064,0.477121254719662,8972.13213277234,14216.7941883086,4988.54876794345,2002.95,357.7,1601.18655802321,7385.43831337219,3436.52882753654,0.0,35961.9666666667,19750.6598577245,1.75179071940206
3144300,645784,46935,90663,295182,158108,4A,Centro de Zona A,2.7481880270062,2.14612803567824,0.602059991327962,21792.8559437883,33254.2459822013,24884.6477686167,20554.4,316.199999999999,33276.95,16293.7361160938,26558.1667134676,0.0,18500.1266666667,44192.8269315773,1.61610225519724
2610905,643016,24944,55928,260735,240113,4A,Centro de Zona A,2.66745295288995,2.19033169817029,0.477121254719662,26113.3681637312,21719.6,36007.5333333333,23065.4133333333,0.0,8778.03333333333,58526.5291652723,28656.3533333333,0.0,40657.2,37545.5643167189,2.49079004280579
2905206,637474,27597,139073,246103,171574,4A,Centro de Zona A,2.51587384371168,2.2148438480477,0.301029995663981,25753.4603992308,25325.0966666667,21317.7333333333,14862.3,5228.65000000001,25317.74,22730.2333333333,33562.2,0.0,5228.38333333334,103897.223992308,3.0671831068992
1705508,636783,32587,71886,266045,200372,4A,Centro de Zona A,2.53019969820308,2.05307844348342,0.477121254719662,37222.3173186964,22762.1378339878,19381.1333333333,12829.8533333333,0.0,78851.5,16560.9166666667,44686.9433333333,0.0,0.0,164154.691540742,1.97199199771363
3146008,635292,55748,83450,307388,123617,4A,Centro de Zona A,2.72997428569955,2.25285303097989,0.477121254719662,15085.4166381768,18954.8333333333,22711.15,17573.7166666667,833.883333333333,35523.2333333333,14454.7133333333,1892.4,0.0,7077.00024978845,29424.7953912387,1.5531196798184
5105622,613345,57565,110761,248427,138231,4A,Centro de Zona A,2.87390159786446,2.2718416065365,0.602059991327962,11219.0652029172,22958.5,24999.45,6446.85000000001,895.55,589.500000000001,9810.56666666666,10195.0166666667,0.0,0.0,30749.5729717785,3.05055200464846
3538808,602191,55958,54090,356620,101469,4A,Centro de Zona A,2.75739602879302,2.15533603746506,0.602059991327962,15687.1657079188,14325.9666666667,16241.5666666667,13898.25,2742.49333333333,5219.95,32721.2966666667,15621.77,0.0,14401.9333333333,41698.4304125214,2.58901852661309
2101608,601599,43609,32470,259438,230572,4A,Centro de Zona A,2.47712125471966,2.0,0.477121254719662,37837.6803909109,59334.96,49903.75,17384.1166666667,0.0,2102.6,113687.32964856,57608.95,0.0,0.0,56768.2078534656,1.7882771032189
5210208,581243,49034,62809,305389,112895,4A,Centro de Zona A,2.52633927738984,2.04921802267018,0.477121254719662,26767.7949636495,34946.2833333333,34415.5524957441,45849.1348571429,4702.33333333333,35987.14,21740.0166666667,36278.7333333333,0.0,498.333333333333,48931.5050922819,4.08706396730349
4121406,578310,97925,58270,298248,68646,4A,Centro de Zona A,2.50242711998443,2.20139712432045,0.301029995663981,20659.1036254956,15841.9566666667,25466.16,12833.4333333333,846.533333333332,26929.0192804265,34338.3515306775,11453.1953101462,0.0,8252.3,70483.1951406587,0.0
2928109,570954,87182,41422,219796,185685,4A,Centro de Zona A,2.62736585659273,2.02530586526477,0.602059991327962,36993.3138686401,48389.8,81496.75,43198.5666666667,1389.13333333333,33761.2,43647.0533333333,49223.77,0.0,0.0,50345.0896177992,1.88303458265435
3202306,567372,43423,107823,255274,120610,4A,Centro de Zona A,2.56348108539441,2.08635983067475,0.477121254719662,19473.5997439371,19645.55,11971.5166666667,54012.4633333333,13158.56,289.2,41730.3666666667,19044.76,0.0,10628.0666666667,24255.5141060374,2.97317607083347
