cod_origem,cod_destino,saude_baixa_media,saude_alta
1101302,1100122,0.2,0.133333333333333
1101302,1100155,0.316666666666667,0.116666666666667
1101302,1100205,0.116666666666667,0.3
1101302,1100049,0.233333333333333,0.35
1101302,1100023,0.0666666666666667,0.0666666666666667
1101302,1100114,0.0666666666666667,0.0333333333333333
1101401,1100023,0.9,0.0
1101401,1100205,0.1,0.2
1101401,3505500,0.0,0.8
1101435,1100155,0.18333333333333302,0.0
1101435,1100122,0.416666666666667,0.233333333333333
1101435,1100205,0.18333333333333302,0.566666666666667
1101435,1101302,0.116666666666667,0.0
1101435,1100049,0.0666666666666667,0.2
1101435,1100023,0.0333333333333333,0.0
1101450,1100049,0.433333333333333,0.6
1101450,1100288,0.333333333333333,0.0
1101450,1100189,0.166666666666667,0.0
1101450,1100205,0.0,0.316666666666667
1101450,1100122,0.0666666666666667,0.0833333333333333
1101468,1100056,0.983333333333333,0.0
1101468,1100304,0.0,0.666666666666667
1101468,1100205,0.0,0.333333333333333
1101468,1100064,0.01,0.0
1101468,0,0.00666666666666667,0.0
1101476,1100189,0.3,0.0
1101476,1100288,0.5,0.0
1101476,1100049,0.166666666666667,0.5
1101476,1100205,0.0,0.366666666666667
1101476,1100122,0.0333333333333333,0.1
1101476,1100304,0.0,0.0333333333333333
1101484,1100288,0.433333333333333,0.0
1101484,1100049,0.133333333333333,0.566666666666667
1101484,1100189,0.433333333333333,0.0
1101484,1100205,0.0,0.366666666666667
1101484,1100122,0.0,0.0333333333333333
1101484,1100304,0.0,0.0333333333333333
1101492,1100205,0.1,0.383333333333333
1101492,1100122,0.4,0.283333333333333
1101492,1100049,0.266666666666667,0.116666666666667
1101492,1100320,0.133333333333333,0.0
1101492,1100346,0.1,0.0
1101492,1100023,0.0,0.116666666666667
1101492,1100114,0.0,0.0333333333333333
1101492,1100304,0.0,0.0666666666666667
1101500,1100122,0.366666666666667,0.233333333333333
1101500,1100205,0.166666666666667,0.466666666666667
1101500,1100049,0.233333333333333,0.166666666666667
