"Tabela 6579 - População residente estimada"
"Variável - População residente estimada"
"Nível";"Cód.";"UF e Município, em ordem de código de UF e nome de Município";"Ano"
"Nível";"Cód.";"UF e Município, em ordem de código de UF e nome de Município";"2011";;"2021"
"MU";"1505403";"  Ourém";"16458";"Pessoas";"18079";"Pessoas"
"MU";"1505437";"  Ourilândia do Norte";"27965";"Pessoas";"33831";"Pessoas"
"MU";"1505486";"  Pacajá";"40831";"Pessoas";"49110";"Pessoas"
"MU";"1505494";"  Palestina do Pará";"7470";"Pessoas";"7575";"Pessoas"
"MU";"1505502";"  Paragominas";"99460";"Pessoas";"115838";"Pessoas"
"MU";"1505536";"  Parauapebas";"160229";"Pessoas";"218787";"Pessoas"
"MU";"1505551";"  Pau D'Arco";"5950";"Pessoas";"5339";"Pessoas"
"MU";"1505601";"  Peixe-Boi";"7862";"Pessoas";"8084";"Pessoas"
"MU";"1505635";"  Piçarra";"12699";"Pessoas";"12976";"Pessoas"
"MU";"1505650";"  Placas";"24744";"Pessoas";"32325";"Pessoas"
"MU";"1505700";"  Ponta de Pedras";"26560";"Pessoas";"32007";"Pessoas"
"MU";"1505809";"  Portel";"53257";"Pessoas";"63831";"Pessoas"
"MU";"1505908";"  Porto de Moz";"34756";"Pessoas";"42456";"Pessoas"
"MU";"1506005";"  Prainha";"29337";"Pessoas";"29827";"Pessoas"
"MU";"1506104";"  Primavera";"10311";"Pessoas";"10889";"Pessoas"
"MU";"1506112";"  Quatipuru";"12527";"Pessoas";"13794";"Pessoas"
"MU";"1506138";"  Redenção";"76501";"Pessoas";"86326";"Pessoas"
"MU";"1506161";"  Rio Maria";"17713";"Pessoas";"18208";"Pessoas"
"MU";"1506187";"  Rondon do Pará";"47509";"Pessoas";"53242";"Pessoas"
"MU";"1506195";"  Rurópolis";"41272";"Pessoas";"52473";"Pessoas"
"MU";"1506203";"  Salinópolis";"37726";"Pessoas";"41164";"Pessoas"
"MU";"1506302";"  Salvaterra";"20572";"Pessoas";"24392";"Pessoas"
"MU";"1506351";"  Santa Bárbara do Pará";"17584";"Pessoas";"21811";"Pessoas"
"MU";"1506401";"  Santa Cruz do Arari";"8378";"Pessoas";"10496";"Pessoas"
"MU";"1506500";"  Santa Izabel do Pará";"60713";"Pessoas";"72856";"Pessoas"
"MU";"1506559";"  Santa Luzia do Pará";"19426";"Pessoas";"19839";"Pessoas"
"MU";"1506583";"  Santa Maria das Barreiras";"17686";"Pessoas";"22244";"Pessoas"
"MU";"1506609";"  Santa Maria do Pará";"23194";"Pessoas";"25127";"Pessoas"
"MU";"1506708";"  Santana do Araguaia";"58067";"Pessoas";"75995";"Pessoas"
"MU";"1506807";"  Santarém";"297040";"Pessoas";"308339";"Pessoas"
"MU";"1506906";"  Santarém Novo";"6196";"Pessoas";"6796";"Pessoas"
"MU";"1507003";"  Santo Antônio do Tauá";"27199";"Pessoas";"32346";"Pessoas"
"MU";"1507102";"  São Caetano de Odivelas";"16991";"Pessoas";"18207";"Pessoas"
"MU";"1507151";"  São Domingos do Araguaia";"23370";"Pessoas";"25945";"Pessoas"
"MU";"1507201";"  São Domingos do Capim";"30034";"Pessoas";"32285";"Pessoas"
"MU";"1507300";"  São Félix do Xingu";"95694";"Pessoas";"135732";"Pessoas"
"MU";"1507409";"  São Francisco do Pará";"15123";"Pessoas";"15978";"Pessoas"
"MU";"1507458";"  São Geraldo do Araguaia";"25429";"Pessoas";"24566";"Pessoas"
"MU";"1507466";"  São João da Ponta";"5360";"Pessoas";"6294";"Pessoas"
"MU";"1507474";"  São João de Pirabas";"20890";"Pessoas";"23440";"Pessoas"
"MU";"1507508";"  São João do Araguaia";"13225";"Pessoas";"14105";"Pessoas"
"MU";"1507607";"  São Miguel do Guamá";"52350";"Pessoas";"60268";"Pessoas"
"MU";"1507706";"  São Sebastião da Boa Vista";"23307";"Pessoas";"27302";"Pessoas"
"MU";"1507755";"  Sapucaia";"5144";"Pessoas";"6088";"Pessoas"
"MU";"1507805";"  Senador José Porfírio";"12840";"Pessoas";"11305";"Pessoas"
"MU";"1507904";"  Soure";"23235";"Pessoas";"25752";"Pessoas"
"MU";"1507953";"  Tailândia";"82434";"Pessoas";"111554";"Pessoas"
"MU";"1507961";"  Terra Alta";"10416";"Pessoas";"11971";"Pessoas"
"MU";"1507979";"  Terra Santa";"17130";"Pessoas";"19063";"Pessoas"
"MU";"1508001";"  Tomé-Açu";"57228";"Pessoas";"64604";"Pessoas"
"MU";"1508035";"  Tracuateua";"27817";"Pessoas";"31549";"Pessoas"
"MU";"1508050";"  Trairão";"17093";"Pessoas";"19344";"Pessoas"
"MU";"1508084";"  Tucumã";"34334";"Pessoas";"40661";"Pessoas"
"MU";"1508100";"  Tucuruí";"98919";"Pessoas";"116605";"Pessoas"
"MU";"1508126";"  Ulianópolis";"45190";"Pessoas";"62286";"Pessoas"
"MU";"1508159";"  Uruará";"44758";"Pessoas";"45395";"Pessoas"
"MU";"1508209";"  Vigia";"48482";"Pessoas";"54650";"Pessoas"
"MU";"1508308";"  Viseu";"57148";"Pessoas";"62093";"Pessoas"
"MU";"1508357";"  Vitória do Xingu";"13607";"Pessoas";"15421";"Pessoas"
"MU";"1508407";"  Xinguara";"40984";"Pessoas";"45416";"Pessoas"
"UF";"16";"Amapá";"684309";"Pessoas";"877613";"Pessoas"
"MU";"1600105";"  Amapá";"8142";"Pessoas";"9265";"Pessoas"
"MU";"1600204";"  Calçoene";"9175";"Pessoas";"11493";"Pessoas"
"MU";"1600212";"  Cutias";"4805";"Pessoas";"6217";"Pessoas"
"MU";"1600238";"  Ferreira Gomes";"5974";"Pessoas";"8151";"Pessoas"
"MU";"1600253";"  Itaubal";"4371";"Pessoas";"5730";"Pessoas"
"MU";"1600279";"  Laranjal do Jari";"40820";"Pessoas";"52302";"Pessoas"
"MU";"1600303";"  Macapá";"407023";"Pessoas";"522357";"Pessoas"
"MU";"1600402";"  Mazagão";"17420";"Pessoas";"22468";"Pessoas"
"MU";"1600501";"  Oiapoque";"21095";"Pessoas";"28534";"Pessoas"
"MU";"1600154";"  Pedra Branca do Amapari";"11292";"Pessoas";"17625";"Pessoas"
"MU";"1600535";"  Porto Grande";"17252";"Pessoas";"22927";"Pessoas"
"MU";"1600550";"  Pracuúba";"3909";"Pessoas";"5370";"Pessoas"
"MU";"1600600";"  Santana";"102861";"Pessoas";"124808";"Pessoas"
"MU";"1600055";"  Serra do Navio";"4464";"Pessoas";"5577";"Pessoas"
"MU";"1600709";"  Tartarugalzinho";"12981";"Pessoas";"18217";"Pessoas"
"MU";"1600808";"  Vitória do Jari";"12725";"Pessoas";"16572";"Pessoas"
"UF";"17";"Tocantins";"1400892";"Pessoas";"1607363";"Pessoas"
"MU";"1700251";"  Abreulândia";"2407";"Pessoas";"2609";"Pessoas"
"MU";"1700301";"  Aguiarnópolis";"5317";"Pessoas";"7049";"Pessoas"
"MU";"1700350";"  Aliança do Tocantins";"5633";"Pessoas";"5303";"Pessoas"
"MU";"1700400";"  Almas";"7518";"Pessoas";"6905";"Pessoas"
"MU";"1700707";"  Alvorada";"8364";"Pessoas";"8381";"Pessoas"
"MU";"1701002";"  Ananás";"9816";"Pessoas";"9435";"Pessoas"
